id,created_at,screen_name,u_created_at,statuses_count,followers,friends,location,profile_background_color,text
ID_1265398277207404544,5/26/2020 21:43,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48178,1475,4459,"Florida, USA",0,Companies Demand Government to include Climate Change Considerations in New Coronavirus ... - https://t.co/3XluqoYVFy #GoogleAlerts
ID_1265398294559240193,5/26/2020 21:43,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48179,1475,4459,"Florida, USA",0,Emmanuel Macron's Weak Pandemic Response Is a Bad Omen for His Promises on Climate Action - https://t.co/AFha18ELkK #GoogleAlerts
ID_1265398313387462657,5/26/2020 21:44,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48180,1475,4459,"Florida, USA",0,Emissions have dropped 17% — but it doesn't mean we're addressing climate change - https://t.co/PeZIxFMZIu #GoogleAlerts
ID_1265398331519504385,5/26/2020 21:44,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48181,1475,4459,"Florida, USA",0,Climate change could dramatically reduce US snowstorms - https://t.co/d5kL7w0Ngm #GoogleAlerts
ID_1265398360028205056,5/26/2020 21:44,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48182,1475,4459,"Florida, USA",0,Medical groups urge G20 to focus on climate change with COVID-19 aid packages - https://t.co/1W7EDBo7NM #GoogleAlerts
ID_1265398667860721664,5/26/2020 21:45,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48190,1475,4459,"Florida, USA",0,The canals are clear thanks to the coronavirus  but Venice's existential threat Is climate chang - https://t.co/oatU6S2Vou #GoogleAlerts
ID_1265398689960472579,5/26/2020 21:45,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48191,1475,4459,"Florida, USA",0,Climate Models Underestimated Greenland's Melting  With Catastrophic Impact On Whole World - https://t.co/DRr6k0liHW #GoogleAlerts
ID_1265398881724043265,5/26/2020 21:46,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48192,1475,4459,"Florida, USA",0,Climate Models Underestimated Greenland's Melting  With Catastrophic Impact On Whole World - https://t.co/igXLzQK7Ui #GoogleAlerts
ID_1265399155096256512,5/26/2020 21:47,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48197,1475,4459,"Florida, USA",0,The canals are clear thanks to the coronavirus  but Venice's existential threat Is climate chang - https://t.co/OXav1xArua #GoogleAlerts
ID_1265399177275727872,5/26/2020 21:47,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48198,1475,4459,"Florida, USA",0,Adapting to Climate Change - https://t.co/nqaMTGS5qN #GoogleAlerts
ID_1265399414354587652,5/26/2020 21:48,BlondieClimate,Tue Dec 05 21:32:20 +0000 2017,48208,1475,4459,"Florida, USA",0,Climate change is making tropical storms more severe. It will only get worse. - https://t.co/Brmpu2gYzg #GoogleAlerts
